Date,Ticker Symbol,Close,Open,Volume
4-1-2010,GS,173.0800,170.0500,9139000
5-1-2010,GS,176.1400,173.0000,11667900
6-1-2010,GS,174.2600,175.3800,7382100
7-1-2010,GS,177.6700,174.3200,8727400
8-1-2010,GS,174.3100,176.3300,7270800
11-1-2010,GS,171.5600,175.0600,7714500
12-1-2010,GS,167.8200,170.0100,10362600
13-1-2010,GS,169.0700,168.0100,11271200
14-1-2010,GS,168.5300,168.0000,10526700
15-1-2010,GS,165.2100,167.6000,10900600
19-1-2010,GS,166.8600,165.0100,7705200
20-1-2010,GS,167.7900,165.8000,8893900
21-1-2010,GS,160.8700,169.2900,51738200
22-1-2010,GS,154.1200,158.6900,30175600
25-1-2010,GS,154.9800,156.1300,17877000
26-1-2010,GS,150.8800,154.9100,15989500
27-1-2010,GS,151.5000,150.7500,19901900
28-1-2010,GS,153.2900,154.2300,16163100
29-1-2010,GS,148.7200,154.4400,18507300
1-2-2010,GS,153.1300,149.8200,12980800
2-2-2010,GS,156.9400,153.6500,17301500
3-2-2010,GS,157.2300,157.9200,16789900
4-2-2010,GS,150.6800,155.2700,18895000
5-2-2010,GS,154.1600,150.8150,18759100
8-2-2010,GS,151.1000,154.2700,10260600
9-2-2010,GS,152.4900,152.7000,14021800
10-2-2010,GS,153.6300,152.7700,10558200
11-2-2010,GS,154.0500,154.4000,11166100
12-2-2010,GS,153.9300,152.3700,10294000
16-2-2010,GS,157.4000,155.3000,11501100
17-2-2010,GS,157.2600,158.0000,10071800
18-2-2010,GS,155.7300,155.6100,10998700
19-2-2010,GS,156.1800,154.5100,8693400
22-2-2010,GS,156.7100,157.2000,7376900
23-2-2010,GS,156.7000,156.8100,15698100
24-2-2010,GS,158.3300,157.3400,8367300
25-2-2010,GS,156.4400,156.2300,10522200
26-2-2010,GS,156.3500,156.2600,7813000
1-3-2010,GS,156.5400,156.5100,6526800
2-3-2010,GS,158.7500,157.1800,11995900
3-3-2010,GS,157.7200,159.0400,10008000
4-3-2010,GS,163.6100,158.2500,15442500
5-3-2010,GS,167.1800,165.1100,12229000
8-3-2010,GS,169.8400,167.8800,9350300
9-3-2010,GS,168.8500,169.2200,12964500
10-3-2010,GS,171.9400,170.2600,13109100
11-3-2010,GS,173.5100,171.4000,9075200
12-3-2010,GS,174.9600,175.0100,10219700
15-3-2010,GS,173.5300,173.9500,13962000
16-3-2010,GS,176.1900,174.3300,11691300
17-3-2010,GS,176.6400,176.8600,10142900
18-3-2010,GS,177.4500,176.2000,6890100
19-3-2010,GS,177.9000,178.1900,10896500
22-3-2010,GS,176.1575,176.2100,7320400
23-3-2010,GS,174.8300,176.2500,10810800
24-3-2010,GS,174.4100,173.6400,8403100
25-3-2010,GS,174.9000,175.2400,9535100
26-3-2010,GS,172.8700,175.3800,11815400
29-3-2010,GS,174.0500,173.8700,11787200
30-3-2010,GS,171.3800,174.2600,8186100
31-3-2010,GS,170.6300,170.0000,8245700
1-4-2010,GS,170.2200,171.7200,6482000
5-4-2010,GS,173.1600,170.6800,6137600
6-4-2010,GS,172.9000,172.6100,7745500
7-4-2010,GS,176.3600,172.8900,13888200
8-4-2010,GS,179.5000,176.1000,10668700
9-4-2010,GS,179.1200,180.2800,8465300
12-4-2010,GS,177.8400,179.3600,6042200
13-4-2010,GS,179.2500,177.5600,6467800
14-4-2010,GS,184.9200,183.9100,12559500
15-4-2010,GS,184.2700,185.5400,7841900
16-4-2010,GS,160.7000,183.6200,102045000
19-4-2010,GS,163.3200,155.6000,54299100
20-4-2010,GS,159.9800,166.4400,42196500
21-4-2010,GS,158.9300,161.6700,30385600
22-4-2010,GS,159.0500,157.9300,24832900
23-4-2010,GS,157.4000,160.1900,14915900
26-4-2010,GS,152.0300,156.7200,30940600
27-4-2010,GS,153.0400,150.2500,34516800
28-4-2010,GS,157.0100,156.6600,21226100
29-4-2010,GS,160.2400,159.5500,18464200
30-4-2010,GS,145.2000,151.9000,73187800
3-5-2010,GS,149.5000,147.8400,28282700
4-5-2010,GS,149.4500,149.0300,30313400
5-5-2010,GS,148.1900,148.1000,18355100
6-5-2010,GS,142.3200,147.4800,22983400
7-5-2010,GS,142.9900,145.3800,21268400
10-5-2010,GS,143.8300,149.0900,23106900
11-5-2010,GS,141.9700,142.4000,15497900
12-5-2010,GS,147.2000,144.2400,15457000
13-5-2010,GS,144.6500,148.3600,11525700
14-5-2010,GS,143.2300,143.4100,10982600
17-5-2010,GS,142.6400,143.4700,16337900
18-5-2010,GS,137.3600,143.6900,18025500
19-5-2010,GS,140.1000,137.9500,18087100
20-5-2010,GS,136.1000,138.2000,16279300
21-5-2010,GS,140.6200,137.0800,25553400
24-5-2010,GS,136.6900,142.0000,16580300
25-5-2010,GS,142.5600,134.7300,21490800
26-5-2010,GS,140.3000,144.2850,17080500
27-5-2010,GS,144.9500,142.9300,12910100
28-5-2010,GS,144.2600,144.4200,10691400
1-6-2010,GS,141.8600,144.2600,9462300
2-6-2010,GS,144.8300,142.0000,7673700
3-6-2010,GS,144.0400,144.9100,7457400
4-6-2010,GS,142.2500,142.1700,14922100
7-6-2010,GS,138.6800,142.2800,12238600
8-6-2010,GS,137.7800,139.1400,14586900
9-6-2010,GS,136.8000,138.5900,8955900
10-6-2010,GS,133.7700,137.6000,21930900
11-6-2010,GS,135.6400,133.3300,9241700
14-6-2010,GS,133.4400,137.1100,10958000
15-6-2010,GS,136.9000,134.6300,10654100
16-6-2010,GS,137.0600,136.0600,7080800
17-6-2010,GS,137.3200,136.9500,8106500
18-6-2010,GS,138.1800,137.8200,10159100
21-6-2010,GS,137.7400,139.6450,8694300
22-6-2010,GS,134.7900,137.5400,9008800
23-6-2010,GS,135.0700,133.9000,8232500
24-6-2010,GS,134.9800,134.1400,9998900
25-6-2010,GS,139.6600,136.9900,14341600
28-6-2010,GS,136.6600,140.3800,9911000
29-6-2010,GS,133.7600,134.9800,10339800
30-6-2010,GS,131.2700,133.6800,9148300
1-7-2010,GS,131.1400,131.6900,11648600
2-7-2010,GS,131.0800,132.1100,6568400
6-7-2010,GS,132.2600,133.7400,7821700
7-7-2010,GS,135.8300,132.4400,9302600
8-7-2010,GS,135.4600,136.9200,9896900
9-7-2010,GS,138.0600,135.3600,6922300
12-7-2010,GS,137.2500,137.6100,4737400
13-7-2010,GS,140.2500,138.5000,8983800
14-7-2010,GS,139.0600,139.2900,6069200
15-7-2010,GS,145.2200,140.0200,21621800
16-7-2010,GS,146.1700,151.4700,29604600
19-7-2010,GS,145.6800,147.6700,10875900
20-7-2010,GS,148.9100,142.1800,20577800
21-7-2010,GS,146.9900,150.0500,11345400
22-7-2010,GS,146.5500,148.8800,13312500
23-7-2010,GS,147.3800,146.6500,7310100
26-7-2010,GS,148.2000,147.3900,6093300
27-7-2010,GS,147.2300,149.0900,7153200
28-7-2010,GS,147.2000,147.0000,4846300
29-7-2010,GS,152.5800,148.2700,15683100
30-7-2010,GS,150.8200,151.3500,8805300
