Close,Open,Volume,sma_10,ema,rsi,mom,next_day_close
165.21,167.6,10900600,171.76500000000001,171.765,21.030171679930152,-3.319999999999993,166.86
166.86,165.01,7705200,171.143,170.8731818181818,33.99965881563176,1.6500000000000057,167.79
167.79,165.8,8893900,170.308,170.31260330578507,40.8445336167111,0.9299999999999784,160.87
160.87,169.29,51738200,168.969,168.59576634109686,20.79013139054475,-6.9199999999999875,154.12
154.12,158.69,30175600,166.61399999999998,165.9638088245338,13.004687357307125,-6.75,154.98
154.98,156.13,17877000,164.68099999999998,163.96675267461856,17.9009954339,0.8599999999999852,150.88
150.88,154.91,15989500,162.613,161.5873430974152,13.40492822888193,-4.099999999999994,151.5
151.5,150.75,19901900,160.981,159.75328071606697,17.329773892406084,0.6200000000000045,153.29
153.29,154.23,16163100,159.403,158.57813876769114,28.95115592884532,1.789999999999992,148.72
148.72,154.44,18507300,157.42199999999997,156.7857499008382,19.985289300547596,-4.569999999999993,153.13
153.13,149.82,12980800,156.214,156.1210681006858,41.746417487200226,4.409999999999997,156.94
156.94,153.65,17301500,155.222,156.269964809652,54.97143071813367,3.8100000000000023,157.23
157.23,157.92,16789900,154.166,156.44451666244254,55.92348939815013,0.28999999999999204,150.68
150.68,155.27,18895000,153.147,155.3964227238166,35.019209182474846,-6.549999999999983,154.16
154.16,150.815,18759100,153.151,155.17161859221358,47.94247863531788,3.4799999999999898,151.1
151.1,154.27,10260600,152.76299999999998,154.43132430272018,39.34243201235745,-3.0600000000000023,152.49
152.49,152.7,14021800,152.924,154.07835624768015,44.9496072704652,1.3900000000000148,153.63
153.63,152.77,10558200,153.137,153.9968369299201,49.71498955254173,1.1399999999999864,154.05
154.05,154.4,11166100,153.213,154.00650294266188,51.64275130643485,0.4200000000000159,153.93
153.93,152.37,10294000,153.73399999999998,153.99259331672334,50.945225511467406,-0.12000000000000455,157.4
157.4,155.3,11501100,154.161,154.61212180459182,67.03779514549773,3.469999999999999,157.26
157.26,158.0,10071800,154.19299999999998,155.09355420375692,65.94674168755375,-0.14000000000001478,155.73
155.73,155.61,10998700,154.04299999999998,155.20927162125565,53.951630218189266,-1.5300000000000011,156.18
156.18,154.51,8693400,154.59300000000002,155.38576769011826,56.83794787627442,0.45000000000001705,156.71
156.71,157.2,7376900,154.848,155.62653720100585,60.48440999404644,0.5300000000000011,156.7
156.7,156.81,15698100,155.40800000000002,155.82171225536842,60.36413295404024,-0.010000000000019327,158.33
158.33,157.34,8367300,155.99200000000002,156.27776457257417,71.79282430542284,1.6300000000000239,156.44
156.44,156.23,10522200,156.273,156.30726192301523,50.63252041612419,-1.8900000000000148,156.35
156.35,156.26,7813000,156.503,156.315032482467,49.7595332127193,-0.09000000000000341,156.54
156.54,156.51,6526800,156.76399999999998,156.35593566747298,51.94593304261958,0.18999999999999773,158.75
158.75,157.18,11995900,156.89899999999997,156.7912200915688,70.56843321978427,2.210000000000008,157.72
157.72,159.04,10008000,156.945,156.960089165829,57.57078073833333,-1.0300000000000011,163.61
163.61,158.25,15442500,157.733,158.169163862951,81.68443067410644,5.890000000000015,167.18
167.18,165.11,12229000,158.833,159.8074977060508,87.19716438869459,3.569999999999993,169.84
169.84,167.88,9350300,160.14600000000002,161.6315890322234,90.00036497135352,2.6599999999999966,168.85
168.85,169.22,12964500,161.361,162.94402739000094,81.68026204434324,-0.9900000000000091,171.94
171.94,170.26,13109100,162.722,164.5796587736371,86.53630065432635,3.0900000000000034,173.51
173.51,171.4,9075200,164.429,166.20335717843034,88.47631689946094,1.5699999999999932,174.96
174.96,175.01,10219700,166.29000000000002,167.79547405507935,90.1198643005172,1.450000000000017,173.53
173.53,173.95,13962000,167.989,168.83811513597402,76.64425047094306,-1.4300000000000068,176.19
176.19,174.33,11691300,169.733,170.17482147488784,82.66970275583375,2.6599999999999966,176.64
176.64,176.86,10142900,171.625,171.35030847945367,83.56625044759468,0.44999999999998863,177.45
177.45,176.2,6890100,173.009,172.45934330137118,85.2796831846618,0.8100000000000023,177.9
177.9,178.19,10896500,174.081,173.44855361021277,86.2735456181018,0.45000000000001705,176.1575
176.1575,176.21,7320400,174.71275,173.9410893174468,65.02387321087046,-1.7425000000000068,174.83
174.83,176.25,10810800,175.31075,174.10270944154738,52.66984960901592,-1.3274999999999864,174.41
174.41,173.64,8403100,175.55775,174.15858045217513,48.988914339814215,-0.4200000000000159,174.9
174.9,175.24,9535100,175.69675,174.2933840063251,53.70702375076244,0.4900000000000091,172.87
172.87,175.38,11815400,175.48775,174.034586914266,36.31366391302398,-2.030000000000001,174.05
174.05,173.87,11787200,175.53975,174.03738929349035,48.44523822034872,1.1800000000000068,171.38
171.38,174.26,8186100,175.05874999999997,173.55422760376482,31.4829208971471,-2.670000000000016,170.63
170.63,170.0,8245700,174.45775,173.02254985762576,28.03614957358714,-0.75,170.22
170.22,171.72,6482000,173.73475000000002,172.5129953380574,26.08470596953811,-0.4099999999999966,173.16
173.16,170.68,6137600,173.26074999999997,172.63063254931967,54.48269808073963,2.9399999999999977,172.9
172.9,172.61,7745500,172.935,172.67960844944335,52.263050082289,-0.2599999999999909,176.36
176.36,172.89,13888200,173.08800000000002,173.34877054954455,71.5462148678268,3.460000000000008,179.5
179.5,176.1,10668700,173.59700000000004,174.4671759041728,80.48750253398727,3.1399999999999864,179.12
179.12,180.28,8465300,174.019,175.3131439215959,76.83505980258064,-0.37999999999999545,177.84
177.84,179.36,6042200,174.516,175.77257229948754,64.50930051171997,-1.2800000000000011,179.25
