Close,sma_10,ema,rsi,mom,next_day_close
1136.03,1140.669,1140.669,40.26227589000875,-12.430000000000064,1150.23
1150.23,1142.393,1142.4073636363637,62.45459499935791,14.200000000000045,1138.04
1138.04,1142.545,1141.6132975206613,44.65384647253689,-12.190000000000055,1116.48
1116.48,1140.479,1137.0436070623591,27.392842979472526,-21.559999999999945,1091.76
1091.76,1135.486,1128.810223960112,17.627209005496383,-24.720000000000027,1096.78
1096.78,1130.666,1122.9865468764551,24.46299357780982,5.019999999999982,1092.17
1092.17,1125.185,1117.383538353463,22.335324534404734,-4.6099999999999,1097.5
1097.5,1121.3129999999999,1113.7683495619242,31.00758152747333,5.329999999999927,1084.53
1084.53,1115.1979999999999,1108.4522860052107,23.146034947163255,-12.970000000000027,1073.87
1073.87,1107.739,1102.1645976406269,18.362935171686114,-10.660000000000082,1089.19
1089.19,1103.0549999999998,1099.8055798877856,40.464403180592484,15.320000000000164,1103.32
1103.32,1098.364,1100.4445653627336,54.62654649205324,14.129999999999882,1097.28
1097.28,1094.288,1099.8691898422364,48.466314609289626,-6.039999999999964,1063.11
1063.11,1088.951,1093.1857007800115,26.963711471497874,-34.17000000000007,1066.19
1066.19,1086.3939999999998,1088.2773915472821,30.440842879349525,3.0800000000001546,1056.74
1056.74,1082.39,1082.5433203568673,25.740857347280485,-9.450000000000045,1070.52
1070.52,1080.225,1080.3572621101641,42.04969459420675,13.779999999999973,1068.13
1068.13,1077.288,1078.1341235446796,40.138550430389486,-2.3899999999998727,1078.47
1078.47,1076.682,1078.1951919911014,51.948983720862195,10.339999999999918,1075.51
1075.51,1076.846,1077.7069752654465,48.52327898680486,-2.9600000000000364,1094.87
1094.87,1077.414,1080.8275252171834,66.55474502176088,19.3599999999999,1099.51
1099.51,1077.033,1084.2243388140591,69.7311689093736,4.6400000000001,1106.75
1106.75,1077.98,1088.3199135751393,74.46185277850303,7.240000000000009,1109.17
1109.17,1082.5859999999998,1092.1108383796593,76.02727838009721,2.4200000000000728,1108.01
1108.01,1086.768,1095.001595037903,73.33388148864204,-1.1600000000000819,1094.6
1094.6,1090.5539999999999,1094.928577758284,48.50344711287572,-13.410000000000082,1105.24
1105.24,1094.026,1096.8033818022323,61.4493916842611,10.6400000000001,1102.94
1102.94,1097.507,1097.9191305654626,57.54073765888253,-2.2999999999999545,1104.49
1104.49,1100.109,1099.1138340990149,59.70010926457116,1.5499999999999545,1115.71
1115.71,1104.1290000000001,1102.131318808285,72.40070518886986,11.220000000000027,1118.31
1118.31,1106.4730000000002,1105.0728972067786,74.70941627150928,2.599999999999909,1118.79
1118.79,1108.401,1107.5669158964552,75.18838216373018,0.4800000000000182,1122.97
1122.97,1110.0230000000001,1110.3674766425543,79.42913811476309,4.180000000000064,1138.7
1138.7,1112.976,1115.518844525726,88.5970200465173,15.730000000000018,1138.5
1138.5,1116.025,1119.6972364301396,87.97388585067442,-0.20000000000004547,1140.45
1140.45,1120.6100000000001,1123.4704661701142,88.92336401682556,1.9500000000000455,1145.61
1145.61,1124.6470000000002,1127.4958359573661,91.21701320491253,5.1599999999998545,1150.24
1150.24,1129.377,1131.6311385105723,92.87241313134606,4.630000000000109,1149.99
1149.99,1133.9270000000001,1134.9691133268318,91.70580086018262,-0.25,1150.51
1150.51,1137.4070000000002,1137.7947290855896,91.96812022806542,0.5199999999999818,1159.46
1159.46,1141.522,1141.7338692518458,95.22035212985308,8.950000000000045,1166.21
1166.21,1146.2640000000001,1146.1840748424192,96.54082083644364,6.75,1165.83
1165.83,1150.55,1149.7560612347065,94.69974841140225,-0.38000000000010914,1159.9
1159.9,1152.67,1151.600413737487,69.02322400713811,-5.929999999999836,1165.81
1165.81,1155.401,1154.1839748761256,76.84459105946205,5.9099999999998545,1174.17
1174.17,1158.773,1157.8177976259208,83.99158707535338,8.360000000000127,1167.72
1167.72,1160.984,1159.6181980575714,64.7249383147113,-6.4500000000000455,1165.73
1165.73,1162.533,1160.7294347743764,59.464393096761036,-1.990000000000009,1166.59
1166.59,1164.193,1161.794992088126,61.16925882598985,0.8599999999999,1173.22
1173.22,1166.464,1163.8722662539212,72.36839826193749,6.630000000000109,1173.27
1173.27,1167.845,1165.5809451168445,72.44331905547472,0.049999999999954525,1169.43
1169.43,1168.167,1166.2807732774183,57.481192867579175,-3.839999999999918,1178.1
1178.1,1169.3939999999998,1168.429723590615,73.1386377908958,8.669999999999845,1187.44
1187.44,1172.148,1171.8861374832304,82.04311756663652,9.340000000000146,1189.44
1189.44,1174.511,1175.0777488499157,83.50658863789178,2.0,1182.45
1182.45,1175.339,1176.418158149931,61.580781414777704,-6.990000000000009,1186.44
1186.44,1177.2109999999998,1178.2403112135798,67.64273242277747,3.990000000000009,1194.37
1194.37,1180.075,1181.1729819020197,76.75465763197519,7.929999999999836,1196.48
1196.48,1183.0639999999999,1183.9560761016523,78.74538098767178,2.1100000000001273,1197.3
1197.3,1185.472,1186.38224408317,79.59430302537695,0.8199999999999363,1210.65
1210.65,1189.21,1190.7945633407755,88.74364302797665,13.350000000000136,1211.67
1211.67,1193.434,1194.5900972788163,89.20586960516393,1.0199999999999818,1192.13
1192.13,1194.837,1194.1428068644861,44.97822716930349,-19.539999999999964,1197.52
1197.52,1195.845,1194.756841980034,53.01108363816856,5.389999999999873,1207.17
1207.17,1197.618,1197.0137798018459,64.58280868979293,9.650000000000091,1205.94
1205.94,1199.967,1198.636728928783,62.144475692727205,-1.2300000000000182,1208.67
1208.67,1202.19,1200.4609600326405,65.73377666916129,2.730000000000018,1217.28
