Close,Open,Volume,sma_10,ema,rsi,mom,next_day_close
7.3546,7.5332,21792710,7.52055,7.520550000000002,24.748714751364098,-0.125,7.68
7.68,7.4404,26597167,7.524229999999998,7.5495409090909105,65.43010835241053,0.32540000000000013,7.5616
7.5616,7.6754,22433416,7.514750000000001,7.551733471074381,52.517115005963,-0.1183999999999994,7.4311
7.4311,7.5743,22339679,7.5043999999999995,7.52980011269722,41.29010525145938,-0.1305000000000005,7.0625
7.0625,7.385,32353278,7.4585799999999995,7.44483645584318,23.530129017825764,-0.3685999999999998,7.2527
7.2527,7.2325,39316161,7.426779999999999,7.409902554780782,40.13796543316818,0.19019999999999992,7.355
7.355,7.3554,68057437,7.41189,7.399920272093366,47.765056998669046,0.1023000000000005,7.4244
7.4244,7.3875,63634021,7.412469999999999,7.404371131712754,52.8584289085646,0.0693999999999999,7.1175
7.1175,7.3189,43123961,7.371899999999999,7.352212744128616,34.34587656578551,-0.3069000000000006,6.8594
6.8594,7.1814,45971390,7.30988,7.262610427014321,25.103440969420706,-0.2580999999999998,6.9546
6.9546,6.8704,27576409,7.269880000000001,7.206608531193535,33.370268010704656,0.09520000000000017,6.995
6.995,6.9968,25627574,7.20138,7.16813425279471,37.05569537222064,0.04039999999999999,7.1154
7.1154,6.9704,22553343,7.156760000000001,7.1585462068320345,47.809587047145406,0.12040000000000006,6.8589
6.8589,7.0261,27796720,7.09954,7.104065078317119,32.85956287811049,-0.25649999999999995,6.9807
6.9807,6.8795,31211996,7.09136,7.081635064077643,43.3704616871196,0.12179999999999946,6.9329
6.9329,6.9889,17568306,7.05938,7.0545923251544345,40.27727328121359,-0.04779999999999962,7.0068
7.0068,7.015,23130192,7.024559999999999,7.0459028114899915,47.51166000798061,0.07390000000000008,6.9684
6.9684,6.9961,13886651,6.978960000000001,7.031811391219083,44.046152305895795,-0.03840000000000021,7.0954
7.0954,6.96,20170465,6.97675,7.043372956451977,57.009603206301904,0.12699999999999978,7.1564
7.1564,7.0754,23899479,7.006449999999999,7.063923328006163,62.259326828990815,0.06099999999999994,7.2643
7.2643,7.2121,19861692,7.03742,7.100355450186861,70.28297589861104,0.10790000000000077,7.2339
7.2339,7.2925,15976141,7.061310000000001,7.124636277425612,65.38724566542885,-0.030400000000000205,7.2474
7.2474,7.2011,15451881,7.074510000000001,7.146956954257318,66.67578437793117,0.013499999999999623,7.2025
7.2025,7.2093,15186275,7.108869999999999,7.157055689846896,57.73950116886347,-0.04490000000000016,7.1577
7.1577,7.2264,14292683,7.126569999999999,7.15717283714746,49.47011299113163,-0.04479999999999951,7.0378
7.0378,7.1429,20973110,7.13706,7.1354686849388305,33.44545817543921,-0.11990000000000034,7.1663
7.1663,7.0796,16857464,7.153009999999999,7.141074378586316,53.58656877807159,0.12849999999999984,7.2143
7.2143,7.0493,24323109,7.177600000000001,7.154388127934258,59.33297405060189,0.04800000000000004,7.3079
7.3079,7.2279,18495264,7.198849999999998,7.1822993774007555,68.760559000263,0.09360000000000035,7.4639
7.4639,7.3482,20167640,7.2296000000000005,7.233499490600617,78.93448990899341,0.1559999999999997,7.4589
7.4589,7.4975,20646228,7.24906,7.2744814014005055,77.91782514707857,-0.004999999999999893,7.4761
7.4761,7.4621,13650536,7.27328,7.311139328418594,79.07663189472758,0.017199999999999882,7.5254
7.5254,7.4743,13415703,7.301079999999999,7.350095814160668,82.38799275890588,0.049300000000000566,7.8196
7.8196,7.6764,33067131,7.362790000000001,7.435460211586001,91.92309800804455,0.2942,7.8243
7.8243,7.8575,15859399,7.42945,7.5061583549340005,92.00948662499674,0.004699999999999704,7.965
7.965,7.7968,33547308,7.52217,7.589584108582364,94.29345920962874,0.14069999999999983,8.03
8.03,7.9939,21794275,7.6085400000000005,7.6696597252037515,95.1019397945047,0.0649999999999995,8.0536
8.0536,7.9968,14862442,7.69247,7.739467047893978,95.39785394017093,0.023600000000000065,8.0929
8.0929,8.1204,15240222,7.77097,7.8037275846405265,95.91195430209866,0.03930000000000078,7.9943
7.9943,8.0493,18067401,7.8240099999999995,7.838377114705885,71.02833605066327,-0.09860000000000024,8.0161
8.0161,8.0064,16323981,7.8797299999999995,7.870690366577542,72.96667551821393,0.02179999999999982,8.0043
8.0043,8.0321,16481121,7.932549999999999,7.894983027199807,69.8066629925143,-0.011799999999999145,8.0232
8.0232,8.0036,12575771,7.98233,7.918295204072569,72.21575126114492,0.018899999999998585,7.9375
7.9375,8.0282,20532679,7.99412,7.921786985150283,49.72708745035608,-0.08569999999999922,8.0268
8.0268,7.8739,16726458,8.01437,7.940880260577504,64.23418411945116,0.08929999999999971,8.1557
8.1557,8.0586,22018437,8.03344,7.979938395017958,76.48013947431684,0.1288999999999998,8.1918
8.1918,8.13,21782020,8.04962,8.018458686832874,78.99757457945122,0.03610000000000113,8.0946
8.0946,8.2471,19886378,8.05372,8.03230256195417,58.076178926966904,-0.09720000000000084,8.2464
8.2464,8.1768,23416104,8.06907,8.071229368871593,72.36403460871067,0.1517999999999997,8.2996
8.2996,8.3214,19811377,8.099599999999999,8.11275130180403,75.9540622202585,0.05320000000000036,8.423
8.423,8.4501,19425617,8.14029,8.169160156021478,82.53299152987951,0.12340000000000018,8.3929
8.3929,8.4104,15807603,8.17915,8.209840127653937,76.17814262162491,-0.030100000000000904,8.4275
8.4275,8.4818,22189562,8.219579999999999,8.249414649898675,78.55116073466964,0.034600000000001074,8.5175
8.5175,8.392,25113739,8.27758,8.298157440826188,83.79866370869149,0.08999999999999986,8.555
